date,close,open,high,low,volume
2018/7/27,1227.8,1227.4,1231.5,1221.4,16.49K
2018/7/30,1231.5,1231.1,1234.1,1227.8,183.75K
2018/7/31,1233.6,1230.5,1237.8,1222.6,297.83K
2018/8/1,1227.6,1232.7,1233.7,1224.4,218.46K
2018/8/2,1220.1,1224.7,1230,1215.3,234.63K
2018/8/3,1223.2,1216,1228.5,1212.5,280.21K
2018/8/6,1217.7,1222,1226,1214.4,199.54K
2018/8/7,1218.3,1215.8,1224.3,1215.6,205.38K
2018/8/8,1221,1218.7,1223.8,1213.6,263.24K
2018/8/9,1219.9,1222,1225.6,1218.4,232.04K
2018/8/10,1219,1220,1224.9,1213.1,328.24K
2018/8/13,1198.9,1218.4,1221.4,1198.6,374.12K
2018/8/14,1200.7,1201.1,1205.8,1198.9,242.55K
2018/8/15,1185,1201.5,1202,1180,377.68K
2018/8/16,1184,1183,1189,1167.1,362.11K
2018/8/17,1184.2,1180.7,1192,1178.5,255.79K
2018/8/20,1194.6,1190.4,1197.7,1189.6,205.77K
2018/8/21,1200,1197.3,1204.3,1194.3,218.29K
2018/8/22,1203.3,1203,1208.4,1199.2,234.15K
2018/8/23,1194,1202.8,1203.4,1190.2,232.88K
2018/8/24,1213.3,1191.6,1215.4,1189.5,293.98K
2018/8/27,1216,1214.5,1218.8,1209.3,209.19K
2018/8/28,1214.4,1217.7,1220.7,1205.8,273.18K
2018/8/29,1211.5,1206.6,1213.7,1206.6,241.90K
2018/8/30,1205,1212.6,1214,1202.1,288.07K
2018/8/31,1206.7,1206.3,1214.9,1204.1,265.11K
2018/9/4,1199.1,1206.3,1209.7,1195.1,421.47K
2018/9/5,1201.3,1197.2,1204.2,1196.4,209.56K
2018/9/6,1204.3,1202.5,1212.7,1200.5,284.20K
2018/9/7,1200.4,1205.6,1209,1198.7,287.65K
2018/9/10,1199.8,1200.7,1203.8,1196.2,213.40K
2018/9/11,1202.2,1200.4,1204.8,1192.7,263.07K
2018/9/12,1210.9,1203.5,1213.9,1197.6,304.32K
2018/9/13,1208.2,1212.4,1218,1205,304.35K
2018/9/14,1201.1,1206.6,1213.8,1197.7,282.26K
2018/9/17,1205.8,1199.8,1209.7,1197.5,209.94K
2018/9/18,1202.9,1206.4,1208.2,1200.3,229.11K
2018/9/19,1208.3,1202.8,1211,1202.2,233.87K
2018/9/20,1211.3,1208.8,1213.2,1205.1,241.61K
2018/9/21,1201.3,1212.1,1215.8,1196,344.75K
2018/9/24,1204.4,1204,1208.8,1198.6,214.29K
2018/9/25,1205.1,1203.1,1207.9,1201.3,197.64K
2018/9/26,1199.1,1205.5,1206.9,1194.6,343.48K
2018/9/27,1192.9,1205,1208,1191.4,7.62K
2018/9/28,1201.9,1192.6,1203.4,1190,3.69K
2018/10/1,1197.4,1201.7,1202.1,1193.8,3.49K
2018/10/2,1212.7,1198,1217.8,1198,3.74K
2018/10/3,1208.6,1213.1,1217.5,1206.6,2.06K
2018/10/4,1207.4,1207.5,1216.1,1205.3,11.23K
2018/10/5,1211.5,1209.5,1215.2,1206.8,8.43K
2018/10/8,1194.5,1213.5,1213.5,1192,5.89K
2018/10/9,1197.4,1197.7,1201,1192.8,4.84K
2018/10/10,1199.3,1199.3,1204,1194.6,7.15K
2018/10/11,1233.6,1204.3,1235.7,1200.7,18.34K
2018/10/12,1227.9,1234.1,1234.1,1225.5,8.20K
2018/10/15,1236.3,1226.8,1242.6,1226.8,4.70K
2018/10/16,1236.9,1236.7,1241.7,1232.4,1.89K
2018/10/17,1233.3,1233.5,1238.5,1229.8,2.25K
2018/10/18,1236.1,1231.4,1239.3,1227.7,3.41K
2018/10/19,1234.6,1234.8,1239.5,1232.6,2.36K
2018/10/22,1230.6,1236.3,1238.6,1228.8,12.32K
2018/10/23,1242.9,1231.3,1248.9,1230.6,4.01K
2018/10/24,1237.2,1239.4,1243,1234.3,2.26K
2018/10/25,1238.6,1243,1248,1236.8,14.07K
2018/10/26,1241.9,1241,1252,1239.1,7.73K
2018/10/29,1233.7,1242.9,1243.6,1232.3,5.19K
2018/10/30,1231.3,1238.1,1238.5,1227.5,5.16K
2018/10/31,1220.8,1230.3,1230.7,1219.4,21.57K
2018/11/1,1244.5,1222.3,1245,1222.3,25.43K
2018/11/2,1239.3,1241.8,1244,1237.3,10.19K
2018/11/5,1238.4,1240.6,1242.4,1234.5,11.09K
2018/11/6,1232.4,1239.4,1243.5,1231,12.00K
2018/11/7,1234.8,1234.6,1244,1230.6,24.65K
2018/11/8,1231.2,1233.8,1234.3,1227,33.19K
2018/11/9,1214.6,1230.3,1230.3,1213.3,48.33K
2018/11/12,1209.4,1216,1218,1206.6,30.63K
2018/11/13,1207.3,1207.7,1211.3,1202.4,35.58K
2018/11/14,1216,1209.7,1223.2,1204,23.06K
2018/11/15,1221.1,1217.7,1222.8,1213.3,16.27K
2018/11/16,1229,1220.3,1232.1,1220.3,30.63K
2018/11/19,1231.1,1229,1232.2,1224.5,34.54K
2018/11/20,1227,1230.7,1235.4,1226.1,46.66K
2018/11/21,1233.8,1228.7,1236.7,1226.2,53.07K
2018/11/23,1229.1,1232.8,1235.5,1226.2,62.61K
2018/11/26,1228.7,1230.4,1234.5,1228,142.17K
2018/11/27,1219.9,1228.5,1231.7,1217.8,135.21K
2018/11/28,1229.8,1220.9,1233.8,1216.8,209.03K
2018/11/29,1236.3,1232.9,1240.5,1232.9,3.08K
2018/11/30,1231.8,1235.1,1236.7,1227.8,2.62K
2018/12/3,1245.5,1233.3,1246.1,1233,2.38K
2018/12/4,1252.5,1242.5,1253.3,1241.9,3.67K
2018/12/5,1248.6,1250.6,1250.6,1244.8,1.64K
2018/12/6,1249.6,1249.8,1255.6,1246,5.32K
2018/12/7,1258.7,1249,1261.9,1249,7.94K
2018/12/10,1255.6,1261.5,1262.3,1253.2,5.92K
2018/12/11,1253.4,1256.2,1261,1252.6,7.13K
2018/12/12,1256.2,1254.3,1258.5,1253.5,4.90K
2018/12/13,1253.6,1257.2,1257.6,1250.8,3.89K
2018/12/14,1247.5,1252.2,1253.3,1242.5,3.72K
2018/12/17,1258,1247.4,1258.3,1245.9,5.21K
2018/12/18,1259.8,1256.1,1260.2,1255.2,10.50K
2018/12/19,1262.6,1259.9,1268.2,1251.6,5.06K
2018/12/20,1274.2,1253.3,1276.3,1252.5,10.10K
2018/12/21,1264.2,1270,1272.3,1263.3,5.35K
2018/12/24,1278,1266.3,1279.9,1266.3,3.90K
2018/12/26,1279.2,1279.2,1288.3,1274,4.22K
2018/12/27,1287.4,1275.9,1287.7,1275.6,5.52K
2018/12/28,1289.3,1283.8,1289.9,1283.1,4.61K
2018/12/31,1287.7,1289.6,1292.6,1285.8,11.64K
2019/1/2,1290.5,1291.4,1297,1287,14.46K
2019/1/3,1301.2,1293.5,1302.8,1292.8,15.28K
2019/1/4,1292.2,1301.4,1306.5,1284.6,11.88K
2019/1/7,1296.4,1293.3,1303.2,1290.7,12.45K
