date,open,volume,low,high,close
2022/3/7,403.5924,334571,395.6764097,406.8336311,403.662569
2022/3/8,404.6953,331135,398.7239038,413.1808074,412.6184641
2022/3/9,414.6512,439330,408.17813,420.9607898,417.4857729
2022/3/10,402.832,352617,400.0999577,410.6038773,404.434347
2022/3/11,406.14,252191,404.0068601,409.1937498,405.1420144
2022/3/14,404.6661,253552,400.6522912,406.8532,402.8981389
2022/3/15,399.1533,224727,393.496634,401.5085634,394.7879827
2022/3/16,393.8025,201547,391.1871319,395.3476865,391.5144435
2022/3/17,394.3487,198592,388.8940865,396.7110763,395.9006273
2022/3/18,397.2788,160647,395.7491536,398.986456,396.347515
2022/3/21,394.7135,155957,394.1914028,397.4988851,395.1740676
2022/3/22,396.5886,132850,393.7180926,398.4413897,397.5365971
2022/3/23,394.7741,135062,393.2388032,396.4925438,395.1151594
2022/3/24,400.3303,137265,396.7286205,401.3136452,399.39878
2022/3/25,403.4879,160800,400.2292885,404.0356131,402.0731955
2022/3/28,402.9057,164341,397.9062784,403.4242427,398.1386209
2022/3/29,395.8587,119526,395.2293334,399.5759893,395.9696984
2022/3/30,394.841,174938,389.2410183,395.9523325,395.1619732
2022/3/31,396.0878,126287,393.0758293,397.5967865,394.7734194
2022/4/1,395.4475,131654,395.1752132,398.6279154,396.6734989
2022/4/6,394.6027,57369,393.9294576,396.201897,394.9472547
2022/4/7,395.3318,109865,393.9684639,396.4030034,395.4336212
2022/4/8,397.0824,121311,395.7733983,397.8207442,396.5958886
2022/4/11,399.5786,162807,397.0027522,400.6740672,400.1199218
2022/4/12,401.4048,154189,399.3123082,404.0591528,402.2584155
2022/4/13,403.1699,169664,402.5050003,405.1836468,404.1847907
2022/4/14,405.0481,121307,404.3886975,406.5502556,404.7945452
2022/4/15,405.7739,142890,403.2693567,406.7089721,406.3480234
2022/4/18,408.5442,96219,405.4164874,408.9426536,408.5148823
2022/4/19,405.8148,142567,405.1341177,409.5694256,405.6160949
2022/4/20,401.7032,215633,399.9178058,405.8018935,400.6319116
2022/4/21,404.5541,137846,402.3406889,405.7144468,405.6284977
2022/4/22,405.4466,173025,403.3078241,407.735294,407.3573484
2022/4/25,404.7984,241781,403.7920229,408.3532722,405.1026873
2022/4/26,401.4071,204068,400.187246,403.209654,401.9334142
2022/4/27,402.6286,180012,401.5420936,404.5833669,401.7500207
2022/4/28,399.4,223207,398.5602559,402.0476839,401.6691149
2022/4/29,405.0269,190595,401.8918279,407.9091116,406.6070078
2022/5/5,403.5785,78283,403.2366695,405.8880933,405.3244344
2022/5/6,402.9069,217809,402.0058825,407.6372315,404.3975396
2022/5/9,406.6831,165669,404.2166138,407.3427074,406.1256544
2022/5/10,403.4595,189218,402.8699887,406.5334922,403.090859
2022/5/11,399.6975,189281,398.8152775,404.9483286,400.7614967
2022/5/12,404.0345,198170,400.3306881,405.4040074,405.0980514
2022/5/13,400.4805,194942,400.266534,405.202269,400.6194496
2022/5/16,397.7957,216731,395.8496195,399.0495416,396.7932631
2022/5/17,399.1647,160516,395.6043843,399.5145109,399.1830897
2022/5/18,395.628,169832,394.3158322,398.2346861,394.5441108
2022/5/19,396.4582,142152,394.5044401,397.4692768,396.2500903
2022/5/20,398.3452,187142,397.7346814,400.0237619,398.4998872
2022/5/23,399.334,173645,396.147104,400.4216677,398.4716441
2022/5/24,398.5349,134360,397.1720265,399.849708,399.3979765
2022/5/25,400.626,147495,399.7350534,401.4437899,400.136784
2022/5/26,400.4594,164483,399.2040915,401.8968321,401.6845755
2022/5/27,402.8049,167034,401.1776394,403.881216,403.723519
2022/5/30,401.0875,166548,400.0931515,402.7818459,400.4810922
2022/5/31,399.154,123076,398.4958984,401.1672728,399.6518405
2022/6/1,396.4225,154369,396.0293982,400.1401635,396.9103154
2022/6/2,399.1821,148732,397.398441,400.4057963,399.6415404
2022/6/6,397.8746,44610,397.7135585,399.2830678,398.6456195
2022/6/7,396.2559,120132,395.8303997,398.106143,396.7470369
2022/6/8,398.5053,113167,397.6225104,399.4510422,398.7586058
2022/6/9,400.2965,105177,399.3736321,401.1483149,399.4996508
2022/6/10,399.3571,113760,397.8517308,399.8288254,398.2763307
2022/6/13,406.3283,283373,397.1413669,406.825007,404.9668934
2022/6/14,398.5151,239948,396.9702637,402.4625087,397.5211518
2022/6/15,394.5691,183929,394.2912471,396.6725764,395.1458716
2022/6/16,396.6958,172186,394.0324397,397.6738324,396.4380825
2022/6/17,398.5393,175093,395.9581655,399.4938317,399.1878227
2022/6/20,398.4206,164219,397.3698514,401.0786669,397.6586681
2022/6/21,397.6602,94819,396.6547671,398.1519469,396.8924507
2022/6/22,395.9693,134805,395.8161308,398.4457918,396.7819251
2022/6/23,397.6351,154649,396.9675593,400.1501714,397.3386
2022/6/24,394.6309,207809,393.7564925,399.1702736,394.2582804
2022/6/27,395.0125,168645,393.1101728,397.0677654,397.042741
2022/6/28,395.1233,170861,393.9515031,396.8219113,394.6991372
