date,close,volume,7_Days_MA,14_Days_MA,21_Days_MA,7_Days_SD,O-C,H-L
2021-12-17,1807.3,7.25,1783.7714285714287,1782.6357142857144,1796.1142857142854,11.17254287461009,-19.5,24.699999999999818
2021-12-20,1796.9,8.37,1786.5857142857144,1784.0785714285714,1792.9952380952382,14.3320652816462,-3.599999999999909,18.700000000000045
2021-12-21,1791.1,3.8,1789.1571428571428,1785.4071428571428,1789.8000000000002,14.3380446298924,5.5,14.099999999999909
2021-12-22,1804.6,4.59,1789.742857142857,1785.75,1786.790476190476,14.318968438477583,3.2000000000000455,16.0
2021-12-23,1814.0,1.6,1791.7428571428572,1788.6,1786.5761904761905,15.395871431721847,-12.799999999999955,19.5
2021-12-27,1811.1,2.46,1797.357142857143,1790.6142857142856,1787.8952380952378,15.310547251554636,-7.099999999999909,12.600000000000136
2021-12-28,1813.3,2.57,1803.6714285714286,1792.7285714285715,1789.047619047619,8.047921944095545,-2.099999999999909,10.799999999999955
2021-12-29,1808.2,2.64,1805.4714285714285,1794.6214285714286,1790.2476190476189,8.658466816835867,1.6000000000001364,15.599999999999909
2021-12-30,1816.6,3.24,1805.6000000000001,1796.0928571428572,1791.2523809523807,8.696742685197318,1.599999999999909,18.09999999999991
2021-12-31,1831.0,6.52,1808.4142857142856,1798.7857142857142,1793.0761904761907,8.599114018545771,-9.199999999999818,21.5
2022-01-03,1802.4,5.23,1814.1142857142856,1801.9285714285713,1795.204761904762,8.431770982654058,-11.900000000000091,15.599999999999909
2022-01-04,1817.0,9.97,1813.8,1802.7714285714285,1797.0,8.874870891032673,30.5,34.90000000000009
2022-01-05,1827.5,10.86,1814.2285714285715,1805.7928571428572,1798.485714285714,8.958183276658925,-12.5,18.90000000000009
2022-01-06,1791.5,10.32,1816.5714285714287,1810.1214285714286,1800.6761904761904,10.07814703297199,-10.5,21.0
2022-01-07,1799.9,33.2,1813.457142857143,1809.4642857142858,1800.8999999999996,13.900822175037852,22.0,25.700000000000045
2022-01-10,1801.3,71.89,1812.2714285714285,1808.935714285714,1801.485714285714,14.751916743874979,-6.900000000000091,16.90000000000009
2022-01-11,1821.0,39.84,1810.0857142857144,1809.25,1802.5523809523809,15.13224246118011,-3.2999999999999545,12.400000000000091
2022-01-12,1829.8,40.67,1808.6571428571428,1811.3857142857144,1804.1714285714286,13.17407266092672,-17.299999999999955,23.200000000000045
2022-01-13,1823.9,45.5,1812.5714285714287,1813.1857142857145,1806.0380952380951,14.955234789805843,-6.099999999999909,13.5
2022-01-14,1819.0,86.51,1813.5571428571427,1813.892857142857,1808.3809523809523,15.512775073318068,4.099999999999909,16.200000000000045
2022-01-18,1814.9,25.16,1812.3428571428572,1814.4571428571428,1810.8619047619047,14.54176251841673,4.5,14.700000000000045
2022-01-19,1845.5,102.42,1815.685714285714,1814.5714285714287,1811.5380952380954,11.27437042901228,4.899999999999864,18.0
2022-01-20,1844.9,88.81,1822.2,1817.2357142857143,1813.357142857143,13.572766851277228,-29.09999999999991,34.5
2022-01-21,1834.1,80.38,1828.4285714285713,1819.257142857143,1815.642857142857,12.330411494275102,-2.0,12.399999999999864
2022-01-24,1844.2,68.74,1830.3,1819.4785714285715,1817.6904761904761,12.004860126872062,8.5,15.200000000000045
2022-01-25,1855.0,103.78,1832.357142857143,1822.4642857142858,1819.5761904761905,13.08967241028633,-5.900000000000091,15.299999999999955
2022-01-26,1832.0,77.99,1836.8,1825.1785714285713,1821.5285714285715,14.89429420949745,-9.0,19.90000000000009
2022-01-27,1795.0,154.39,1838.6571428571428,1825.5,1822.5238095238096,12.994211165306863,18.700000000000045,36.19999999999982
2022-01-28,1789.3,206.38,1835.814285714286,1825.75,1821.6523809523808,19.570677774939302,26.40000000000009,31.09999999999991
2022-01-31,1799.2,7.0,1827.7857142857142,1824.9928571428572,1820.7523809523811,25.54939194130727,12.299999999999955,18.90000000000009
2022-02-01,1804.3,7.66,1821.257142857143,1824.8428571428572,1819.9238095238093,26.275835358912154,-3.7999999999999545,14.299999999999955
2022-02-02,1813.2,3.2,1817.0,1823.6499999999999,1818.6523809523808,26.262330437323183,-3.3999999999998636,12.400000000000091
2022-02-03,1807.0,3.75,1812.5714285714287,1822.4642857142858,1819.1666666666667,23.365124600956342,-10.200000000000045,16.800000000000182
2022-02-04,1810.8,3.6,1805.7142857142858,1821.257142857143,1818.6904761904761,14.00766796807938,2.900000000000091,20.40000000000009
2022-02-07,1824.7,6.89,1802.685714285714,1820.6714285714286,1817.8952380952383,8.64107025994478,-2.2000000000000455,23.699999999999818
2022-02-08,1831.0,5.59,1806.9285714285713,1821.3714285714286,1819.4761904761904,11.162095723992548,-13.799999999999955,16.799999999999955
2022-02-09,1839.7,10.19,1812.8857142857144,1820.3357142857144,1820.9571428571428,11.312298406480725,-6.5,13.599999999999909
2022-02-10,1840.7,6.96,1818.6714285714284,1819.9642857142858,1822.7857142857142,13.32412777451243,-9.700000000000045,11.0
2022-02-11,1845.5,14.23,1823.8714285714286,1820.435714285714,1823.7238095238095,13.87224018023707,-3.5,21.300000000000182
2022-02-14,1872.8,9.35,1828.4857142857143,1820.5285714285715,1824.4714285714285,15.052732705521716,-15.099999999999909,46.19999999999982
2022-02-15,1859.6,5.15,1837.8857142857141,1821.8,1826.8000000000002,19.335238001393233,-6.099999999999909,24.299999999999955
2022-02-16,1874.9,5.03,1844.857142857143,1823.7714285714285,1828.7333333333333,16.536712404281836,16.700000000000045,35.59999999999991
2022-02-17,1905.3,5.49,1852.0285714285712,1829.4785714285715,1831.5904761904762,17.209659524564504,-16.300000000000182,22.0
2022-02-18,1903.1,10.08,1862.642857142857,1837.7642857142857,1834.438095238095,23.74881450673306,-30.299999999999955,33.299999999999955
2022-02-22,1910.7,4.6,1871.7000000000003,1845.185714285714,1837.209523809524,25.561103262554976,1.900000000000091,16.100000000000136
2022-02-23,1913.7,15.12,1881.7,1852.7857142857142,1840.857142857143,25.10053120285779,-6.0,28.5
2022-02-24,1929.4,7.72,1891.4428571428573,1859.9642857142858,1844.1666666666667,21.715267834908257,-9.600000000000136,21.5
2022-02-25,1890.8,22.15,1899.5285714285715,1868.707142857143,1847.709523809524,24.030724381188215,-14.300000000000182,97.09999999999991
2022-02-28,1904.0,8.22,1903.9857142857143,1874.4214285714286,1850.5095238095241,17.357460314525625,18.700000000000045,40.299999999999955
2022-03-01,1947.1,9.26,1908.142857142857,1880.0857142857144,1855.7000000000003,11.837350089515335,17.0,42.5
2022-03-02,1925.6,9.48,1914.1142857142856,1888.3785714285714,1863.2142857142858,18.711442895644574,-34.899999999999864,49.0
2022-03-03,1939.3,10.16,1917.3285714285716,1894.5142857142855,1869.2333333333333,18.434543144630478,23.90000000000009,34.700000000000045
2022-03-04,1969.9,14.29,1921.4142857142856,1901.5571428571432,1875.661904761905,19.836618375375284,-5.099999999999909,21.0
2022-03-07,1999.2,12.27,1929.4428571428568,1910.4428571428573,1883.1238095238098,26.46096856015817,-27.800000000000182,43.19999999999982
2022-03-08,2046.7,73.28,1939.4142857142856,1919.4714285714285,1892.2761904761905,37.35226135818577,-17.90000000000009,42.5
2022-03-09,1991.7,73.7,1961.6857142857145,1932.8357142857144,1903.5095238095237,48.38372414256132,-42.600000000000136,92.40000000000009
2022-03-10,2004.5,63.78,1974.2142857142858,1941.1785714285713,1911.4619047619049,41.87355683367992,68.49999999999977,85.80000000000018
2022-03-11,1989.4,94.69,1982.4142857142856,1948.2642857142857,1919.7238095238097,41.295134038246225,-7.599999999999909,39.5
2022-03-14,1965.5,84.98,1991.5285714285715,1954.4285714285713,1926.852380952381,32.84096599702324,15.199999999999818,42.799999999999955
2022-03-15,1934.7,24.89,1995.2714285714287,1958.3428571428572,1932.7952380952383,26.841430307473452,28.0,42.299999999999955
2022-03-16,1914.3,49.53,1990.242857142857,1959.8428571428572,1937.0428571428572,34.57107929770366,24.0,47.59999999999991
2022-03-17,1948.2,40.17,1978.1142857142859,1958.7642857142857,1939.0190476190478,44.400316386673765,10.600000000000136,34.399999999999864
2022-03-18,1933.9,36.57,1964.042857142857,1962.8642857142856,1943.2380952380952,33.24945398762026,-14.799999999999955,26.59999999999991
2022-03-21,1934.8,37.36,1955.7857142857142,1965.0,1946.047619047619,32.40259395845973,14.0,28.200000000000045
2022-03-22,1926.7,50.54,1945.8285714285716,1964.1214285714286,1947.452380952381,24.74157865384633,-7.399999999999864,25.0
2022-03-23,1942.6,47.98,1936.8714285714284,1964.2000000000003,1948.5761904761905,16.220841972120024,14.299999999999955,29.200000000000045
2022-03-24,1967.7,57.22,1933.6,1964.435714285714,1950.095238095238,10.93160555448224,-16.299999999999955,33.200000000000045
2022-03-25,1959.8,71.41,1938.314285714286,1964.2785714285715,1952.6666666666667,16.94613314506294,-18.799999999999955,29.59999999999991
2022-03-28,1944.7,63.34,1944.8142857142855,1961.4642857142858,1954.1142857142859,14.788670051884766,3.400000000000091,22.200000000000045
2022-03-29,1918.0,109.25,1944.314285714286,1954.1785714285713,1956.6809523809522,14.714100784740975,17.799999999999955,44.5
2022-03-30,1944.1,214.61,1942.042857142857,1948.9142857142856,1957.3476190476188,17.544691233388843,9.200000000000045,41.200000000000045
2022-03-31,1959.5,3.76,1943.3714285714286,1944.6,1957.204761904762,17.25453701545782,-14.099999999999909,22.899999999999864
2022-04-01,1929.2,7.31,1948.0571428571432,1942.4642857142858,1958.8190476190478,16.405370781391426,-17.0,31.800000000000182
2022-04-04,1939.7,2.17,1946.142857142857,1939.8714285714286,1958.338095238095,17.865129642451624,18.700000000000045,22.40000000000009
2022-04-05,1933.5,2.95,1942.142857142857,1940.2285714285715,1956.8999999999996,15.16452627488296,-6.2000000000000455,22.09999999999991
2022-04-06,1929.3,4.7,1938.3857142857144,1941.6000000000001,1953.7714285714285,13.19020199125849,8.0,27.200000000000045
2022-04-07,1944.2,3.99,1936.185714285714,1940.25,1948.1809523809525,13.245682135581903,4.100000000000136,19.90000000000009
2022-04-08,1952.2,6.75,1939.9285714285713,1940.9857142857143,1945.9190476190474,10.70929725135192,-11.299999999999955,18.0
2022-04-11,1955.0,6.83,1941.0857142857142,1942.2285714285715,1943.4285714285713,11.632917170835709,-10.799999999999955,20.59999999999991
2022-04-12,1983.0,5.74,1940.4428571428568,1944.25,1941.790476190476,10.51647233985594,2.099999999999909,31.299999999999955
2022-04-13,1991.5,9.08,1948.1285714285716,1947.1357142857144,1942.6238095238095,17.957330377437838,-18.0,28.699999999999818
2022-04-14,1981.6,9.41,1955.5285714285715,1948.8357142857144,1945.3285714285714,23.669651052584012,-14.900000000000091,18.200000000000045
2022-04-18,1993.3,3.13,1962.3999999999999,1950.392857142857,1948.5333333333333,23.18569961561114,7.100000000000136,21.0
2022-04-19,1965.8,1.6,1971.5428571428572,1953.8642857142856,1950.6809523809525,20.41044317193623,-10.200000000000045,27.700000000000045
2022-04-20,1962.3,5.38,1974.6285714285714,1957.2785714285715,1952.1999999999998,16.92244212924613,22.0,38.799999999999955
2022-04-21,1955.0,5.75,1976.0714285714287,1958.5785714285716,1953.5095238095241,15.014405780816375,-3.2999999999999545,19.5
2022-04-22,1941.4,11.8,1976.0714285714287,1958.257142857143,1954.857142857143,15.014405780816375,9.200000000000045,21.40000000000009
2022-04-25,1903.0,12.26,1970.1285714285716,1959.1285714285714,1954.8000000000002,19.405644735944747,18.59999999999991,29.5
2022-04-26,1911.1,17.15,1957.4857142857145,1956.5071428571428,1951.7190476190478,29.41113329852251,34.40000000000009,43.799999999999955
2022-04-27,1895.6,8.9,1947.4142857142856,1954.9071428571428,1949.4,31.75475967321274,-3.7999999999999545,14.5
2022-04-28,1898.3,5.84,1933.4571428571428,1952.5,1947.061904761905,29.624868896615304,18.40000000000009,26.0
2022-04-29,1918.6,6.72,1923.814285714286,1949.2214285714285,1946.1238095238098,28.298611778146498,-5.2999999999999545,26.5
2022-05-02,1870.6,7.74,1917.5714285714287,1946.8214285714287,1944.9095238095238,22.649850204461867,-16.09999999999991,27.600000000000136
2022-05-03,1877.8,9.78,1905.5142857142857,1940.792857142857,1940.6761904761904,21.855161752707076,32.5,46.600000000000136
2022-05-04,1876.2,24.9,1896.428571428571,1933.2785714285712,1938.2285714285715,17.167480332049546,-7.399999999999864,28.299999999999955
2022-05-05,1883.0,29.35,1892.6,1925.042857142857,1935.204761904762,18.401720933985317,-0.10000000000013642,30.0
2022-05-06,1890.2,28.69,1888.5857142857144,1918.0,1932.8000000000002,16.677572622248828,8.299999999999955,38.0
2022-05-09,1865.9,52.58,1887.814285714286,1910.6357142857144,1930.938095238095,16.421980044147737,-5.7000000000000455,28.399999999999864
2022-05-10,1848.4,71.72,1883.1857142857145,1903.4999999999998,1927.209523809524,17.50432599589029,25.0,33.200000000000045
2022-05-11,1861.0,90.25,1873.1571428571428,1895.3642857142856,1922.2666666666667,13.48009113996865,11.899999999999864,29.699999999999818
2022-05-12,1831.6,60.05,1871.7857142857142,1888.6499999999999,1917.790476190476,14.24996240593065,-16.09999999999991,26.5
2022-05-13,1814.8,71.42,1865.1857142857145,1880.8071428571427,1910.5809523809523,20.38041777222584,27.200000000000045,38.59999999999991
2022-05-16,1820.4,21.4,1856.4142857142856,1874.507142857143,1902.1666666666667,26.990765616604683,13.299999999999955,30.200000000000045
2022-05-17,1825.4,27.77,1847.4714285714285,1868.0285714285712,1894.4904761904763,27.084479829196216,-4.400000000000091,40.40000000000009
2022-05-18,1822.4,27.0,1838.2142857142858,1863.0142857142857,1886.4952380952377,20.26067032217537,6.2999999999999545,23.100000000000136
2022-05-19,1847.8,40.54,1832.0,1857.5928571428574,1879.6666666666667,16.71446479347946,-2.2000000000000455,17.59999999999991
2022-05-20,1848.4,38.86,1831.9142857142856,1852.5357142857142,1874.2142857142858,16.617603976021694,-26.5,39.59999999999991
2022-05-23,1853.9,42.7,1830.1142857142859,1850.95,1869.1380952380953,13.29152970518811,-1.0,16.700000000000045
2022-05-24,1871.4,62.66,1833.3,1849.2428571428572,1864.9714285714283,16.08570794211828,-3.0,20.700000000000045
2022-05-25,1852.5,76.58,1841.3857142857144,1848.9,1863.4666666666665,19.166848860394328,-12.800000000000182,21.09999999999991
2022-05-26,1853.9,99.6,1845.9714285714285,1846.7214285714288,1860.6761904761904,17.030043480610153,18.700000000000045,27.700000000000045
2022-05-27,1865.0,92.09,1850.042857142857,1844.1285714285714,1858.6904761904761,14.513081127334884,4.0,16.5
2022-05-31,1856.3,1.64,1856.1285714285714,1844.064285714286,1857.1047619047617,8.795020235988344,-2.0,13.600000000000136
2022-06-01,1856.7,2.93,1857.3428571428574,1844.6285714285714,1854.1380952380953,8.004760488312572,5.7000000000000455,28.200000000000045
2022-06-02,1879.4,1.11,1858.5285714285712,1844.3214285714287,1853.4761904761904,7.012539788462558,-10.5,22.100000000000136
